Time,Reporter,Type,Content,Screenshot,RTF Note
2016-12-01 17:01:19,Michał Mikła,(Rapid Reporter version),"1.16.05.20",,
2016-12-01 17:01:19,Michał Mikła,Session Reporter,"Michał Mikła",,
2016-12-01 17:01:19,Michał Mikła,Session Charter,"Testowanie funkcjonalności Mr Buggy",,
2016-12-01 17:02:21,Michał Mikła,autogenerated,"screenshot saved",1_20161201_170221.jpg,
2016-12-01 17:02:35,Michał Mikła,autogenerated,"screenshot saved",2_20161201_170235.jpg,
2016-12-01 17:02:58,Michał Mikła,autogenerated,"screenshot saved",3_20161201_170257.jpg,
2016-12-01 17:03:32,Michał Mikła,autogenerated,"screenshot saved",4_20161201_170332.jpg,
2016-12-01 17:04:06,Michał Mikła,autogenerated,"screenshot saved",5_20161201_170406.jpg,
2016-12-01 17:04:31,Michał Mikła,autogenerated,"screenshot saved",6_20161201_170431.jpg,
2016-12-01 17:05:18,Michał Mikła,autogenerated,"screenshot saved",7_20161201_170518.jpg,
2016-12-01 17:06:01,Michał Mikła,autogenerated,"screenshot saved",8_20161201_170601.jpg,
2016-12-01 17:07:57,Michał Mikła,Session End. Duration,"00:06:38",,
